frame,phase,state,detected,total_us,acquire_us,border_us,threshold_us,morphology_us,blobs_us,track_us,control_us,roi_w,roi_h,border,err,left,right
104,busca,SEARCHING,0,497,0,0,97,336,64,0,0,320,240,0,0.0000,0.480,-0.480
105,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
106,busca,SEARCHING,0,496,0,0,94,338,64,0,0,320,240,0,0.0000,0.480,-0.480
107,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
108,busca,SEARCHING,0,498,0,0,95,336,67,0,0,320,240,0,0.0000,0.480,-0.480
109,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
110,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
111,busca,SEARCHING,0,498,0,0,98,336,64,0,0,320,240,0,0.0000,0.480,-0.480
112,busca,SEARCHING,0,496,0,0,95,336,64,0,1,320,240,0,0.0000,0.480,-0.480
113,busca,SEARCHING,0,495,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
114,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
115,busca,SEARCHING,0,498,0,0,94,340,64,0,0,320,240,0,0.0000,0.480,-0.480
116,busca,SEARCHING,0,518,0,0,94,360,64,0,0,320,240,0,0.0000,0.480,-0.480
117,busca,SEARCHING,0,522,0,0,102,353,67,0,0,320,240,0,0.0000,0.480,-0.480
118,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
119,busca,SEARCHING,0,509,0,0,99,346,64,0,0,320,240,0,0.0000,0.480,-0.480
120,busca,SEARCHING,0,498,0,0,95,336,66,0,0,320,240,0,0.0000,0.480,-0.480
121,busca,SEARCHING,0,497,0,0,95,338,64,0,0,320,240,0,0.0000,0.480,-0.480
122,busca,SEARCHING,0,498,0,0,95,339,64,0,0,320,240,0,0.0000,0.480,-0.480
123,busca,SEARCHING,0,497,0,0,96,337,64,0,0,320,240,0,0.0000,0.480,-0.480
124,busca,SEARCHING,0,493,0,0,92,336,63,0,1,320,240,0,0.0000,0.480,-0.480
125,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
126,busca,SEARCHING,0,496,0,0,95,337,63,0,0,320,240,0,0.0000,0.480,-0.480
127,busca,SEARCHING,0,495,0,0,92,336,67,0,0,320,240,0,0.0000,0.480,-0.480
128,busca,SEARCHING,0,502,0,0,94,344,64,0,0,320,240,0,0.0000,0.480,-0.480
129,busca,SEARCHING,0,499,0,0,95,340,63,0,0,320,240,0,0.0000,0.480,-0.480
130,busca,SEARCHING,0,497,0,0,97,336,64,0,0,320,240,0,0.0000,0.480,-0.480
131,busca,SEARCHING,0,496,0,0,95,336,64,0,1,320,240,0,0.0000,0.480,-0.480
132,busca,SEARCHING,0,495,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
133,busca,SEARCHING,0,496,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
134,busca,SEARCHING,0,497,0,0,94,337,66,0,0,320,240,0,0.0000,0.480,-0.480
135,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
136,busca,SEARCHING,0,497,0,0,94,338,64,0,0,320,240,0,0.0000,0.480,-0.480
137,busca,SEARCHING,0,497,0,0,96,337,64,0,0,320,240,0,0.0000,0.480,-0.480
138,busca,SEARCHING,0,495,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
139,busca,SEARCHING,0,496,0,0,95,337,64,0,0,320,240,0,0.0000,0.480,-0.480
140,busca,SEARCHING,0,496,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
141,busca,SEARCHING,0,497,0,0,94,337,66,0,0,320,240,0,0.0000,0.480,-0.480
142,busca,SEARCHING,0,497,0,0,94,338,64,0,0,320,240,0,0.0000,0.480,-0.480
143,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
144,busca,SEARCHING,0,499,0,0,97,338,63,0,1,320,240,0,0.0000,0.480,-0.480
145,busca,SEARCHING,0,498,0,0,95,338,64,1,0,320,240,0,0.0000,0.480,-0.480
146,busca,SEARCHING,0,503,0,0,95,341,67,0,0,320,240,0,0.0000,0.480,-0.480
147,busca,SEARCHING,0,551,0,0,104,371,76,0,0,320,240,0,0.0000,0.480,-0.480
148,busca,SEARCHING,0,578,0,0,110,394,74,0,0,320,240,0,0.0000,0.480,-0.480
149,busca,SEARCHING,0,606,0,0,116,411,78,0,0,320,240,0,0.0000,0.480,-0.480
150,busca,SEARCHING,0,610,0,0,115,415,78,0,1,320,240,0,0.0000,0.480,-0.480
151,busca,SEARCHING,0,610,0,0,119,412,78,0,1,320,240,0,0.0000,0.480,-0.480
152,busca,SEARCHING,0,629,0,0,115,430,82,0,0,320,240,0,0.0000,0.480,-0.480
153,busca,SEARCHING,0,645,0,0,122,440,83,0,0,320,240,0,0.0000,0.480,-0.480
